year,flow_balance_error,stock_recurrence_error,max_capital_excess,labour_excess,max_import_excess,min_net_output,min_investment,flow_balance_ok,stock_recurrence_ok,capital_ok,labour_ok,imports_ok,net_output_ok,investment_ok,compliant
2019,5.820766091346741e-10,0.0,5.820766091346741e-11,-20391.89599498498,0.0,-2.000888343900442e-10,0.0,True,True,True,True,True,True,True,True
2020,9.313225746154785e-10,0.0,3.4924596548080444e-10,-9613.650127899251,0.0,-3.728928277269006e-11,0.0,True,True,True,True,True,True,True,True
2021,4.656612873077393e-10,0.0,7.450580596923828e-09,-11407.471686996214,1.8189894035458565e-12,-2.3646862246096134e-11,0.0,True,True,True,True,True,True,True,True
2022,6.984919309616089e-10,0.0,2.3283064365386963e-10,-16550.199262532973,0.0,-3.296918293926865e-11,0.0,True,True,True,True,True,True,True,True
2023,4.656612873077393e-10,0.0,3.725290298461914e-09,-32564.35138710325,0.0,-1.8189894035458565e-11,0.0,True,True,True,True,True,True,True,True
