year,flow_balance_error,stock_recurrence_error,max_capital_excess,labour_excess,max_import_excess,min_net_output,min_investment,flow_balance_ok,stock_recurrence_ok,capital_ok,labour_ok,imports_ok,net_output_ok,investment_ok,compliant
2019,5.820766091346741e-10,0.0,5.820766091346741e-11,-20366.18492189719,0.0,-8.003553375601768e-11,0.0,True,True,True,True,True,True,True,True
2020,3.4924596548080444e-10,0.0,4.656612873077393e-10,-8630.538304964793,1.8189894035458565e-12,-1.1641532182693481e-10,0.0,True,True,True,True,True,True,True,True
2021,6.984919309616089e-10,0.0,6.984919309616089e-10,-9588.040189297477,0.0,-1.546140993013978e-11,0.0,True,True,True,True,True,True,True,True
2022,4.656612873077393e-10,0.0,1.862645149230957e-08,-10627.259111139865,0.0,-9.424638847121969e-11,0.0,True,True,True,True,True,True,True,True
2023,4.656612873077393e-10,0.0,1.862645149230957e-09,-13170.873782968905,3.637978807091713e-12,-2.1827872842550278e-11,0.0,True,True,True,True,True,True,True,True
2024,4.656612873077393e-10,0.0,1.862645149230957e-09,-17893.58901123925,0.0,-1.0913936421275139e-11,0.0,True,True,True,True,True,True,True,True
2025,9.313225746154785e-10,0.0,3.725290298461914e-09,-21752.04985006091,0.0,-4.547473508864641e-11,0.0,True,True,True,True,True,True,True,True
2026,4.656612873077393e-10,0.0,1.1175870895385742e-08,-33190.48504509579,0.0,-2.2737367544323206e-11,0.0,True,True,True,True,True,True,True,True
