year,published,fulfillment,harmony,capital_constraint,labour_constraint,import_constraint,investment_real_musd,stock_start_real_musd,stock_end_real_musd,gross_realized_real_musd
2019,1,1.0,0.47619047619047616,0.9999999999999999,1.1800162209451681,1.0088794218050763,1305924.2344048708,64244565.838135004,62073136.07253987,32700235.7936102
2020,1,0.9577151638122893,0.4654264986014628,0.9577151638122886,1.086319482992313,0.957715163812289,2982769.5520802266,62073136.07253987,61662500.03945156,33128282.51903363
2021,1,0.9556430725299494,0.46488764771493485,0.9556430725299487,1.117489755213434,0.9556430725299493,2754145.86385601,61662500.03945156,61046601.97378162,34254590.99802726
2022,1,0.9455566749800826,0.46224907212081484,0.9455566749800823,1.203322339510996,0.9455566749800822,1459313.1870254618,61046601.97378162,59203645.82752764,32459220.20270161
2023,1,0.906324996279026,0.45173389055109014,0.9063249962790256,1.2532121207723677,0.9063250062790259,0.0,59203645.82752764,56019669.29382663,29963668.82302289
