year,flow_balance_error,stock_recurrence_error,max_capital_excess,labour_excess,max_import_excess,min_net_output,min_investment,flow_balance_ok,stock_recurrence_ok,capital_ok,labour_ok,imports_ok,net_output_ok,investment_ok,compliant
2019,4.656612873077393e-10,0.0,7.275957614183426e-12,-37560.12218910751,0.0,-1.7462298274040222e-10,-2.263078613395919e-12,True,True,True,True,True,True,True,True
2020,2.3283064365386963e-10,0.0,2.9103830456733704e-11,-32060.246540859604,1.8189894035458565e-12,-3.9108272176235914e-11,-2.991608696878423e-13,True,True,True,True,True,True,True,True
2021,2.9103830456733704e-10,0.0,5.820766091346741e-11,-36280.18465598233,0.0,-1.2278178473934531e-11,-2.49421214070774e-11,True,True,True,True,True,True,True,True
2022,4.656612873077393e-10,0.0,0.0009599211400654895,-35825.404559566654,0.0,-9.094947017729282e-11,0.0,True,True,True,True,True,True,True,True
2023,2.3283064365386963e-10,0.0,2.3283064365386963e-10,-46475.180693609975,0.0,-2.091837814077735e-11,0.0,True,True,True,True,True,True,True,True
