bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.21450222543801056,0.013355108625261467,2.3530003715002845e-08,0.00032451507735627193,0.00013773718490065265,8.373882454835591e-07,0.0007838369646579577,0.00837273860661899,1.2328203474480263e-06,4.545411945937024e-07,5.147294927345291e-07,4.7175238563509736e-07,1.1634714959587213e-07,5.669415640312217e-07,5.472431811374974e-07,1.5913055931906343e-07,9.350590937901853e-05,0.001915668388348054,0.21777456143900462,0.032516101461930215,0.0007104670136170405,0.0011655743368154871,1.9553140702454896e-05,7.222163769136387e-08,0.017978534473020148,0.0005160789021477097,2.4062044182134403e-05,0.0019311742966476339,0.0013684277993884356,2.5218677020317356e-05,0.00031328409557304296,2.1652291757624124e-08,2.5265827398816997e-06,1.0171949185852932e-08,4.7176542993425604e-08,2.7196639038709213e-08,2.2152773103891215e-08,0.00011189886032786222,1.3105549087497522e-07,6.429860514210974e-07,8.5980635634273e-07,4.2781895423890415e-07,2.7543033356994688e-06,4.215325867956324e-06,2.669365214625459e-06,2.2704396063007257e-07,1.235947235990254e-06,9.021764142471946e-08,3.6026701718614394e-06,1.582776712854913e-06,5.204317047631012e-06,4.764682042628873e-06,0.0005201991898863116,5.019990178219289e-05,0.001611582977820681,1.8644432436483086e-06,0.00050555831206939,2.341450492284194e-06,1.6919557559856017e-07,9.475670149069759e-07,2.3918248422053558e-06,6.53677611770899e-06,0.0026021661901789684,0.0002940111367851315,0.004489321904185859,2.202944821587928e-05,2.3991014650521933e-05,0.0,1.2265422372337892e-05,0.0013532511735765199,2.39112769821403e-06
113FF,0.054755335596796365,0.09649217905345842,2.7732817243965294e-08,0.000858556953106929,4.934595629468526e-08,0.0,4.08977084604138e-08,0.08926695375394549,2.4559838472525766e-06,2.0323367056474373e-09,1.6866693941299108e-08,0.0,1.0646272117768525e-08,0.0,2.598866174775213e-08,0.0,0.0009188924207768371,0.001251913898475265,0.006965350057046156,2.0020722115763174e-06,0.007592417690380842,0.012432735273611701,0.0002000244296671922,0.0,0.0003601290840904055,0.005501698601038297,0.0,8.273763534197236e-08,0.002141506178771865,4.2277270022532554e-08,1.868821249321133e-08,0.0,0.0,9.475643207981643e-09,0.0,0.0,0.0,2.6987580457039344e-06,0.0,0.0,0.0,1.559781740173092e-08,0.0,0.0,1.9928731589811213e-08,0.0,3.198025132996877e-09,1.6736088612672734e-09,4.791707499264263e-09,3.382560181720287e-08,3.6104138089864724e-08,3.544892618398861e-08,0.00014589512153970376,3.1472249778136955e-05,1.7636937922746181e-06,3.727010785945633e-08,0.0001406565983759932,3.0255962945481176e-08,3.282628589323593e-08,0.0,0.0,0.0,0.0009540201823450912,0.0012351105579778805,0.004100694072459538,7.299084498886236e-05,4.862552808001575e-08,0.0,0.00013056198879666725,0.0013285207055271147,3.836133822579784e-08
211,0.001171428880751093,0.00016601761589564085,0.048670126761006016,0.002009095489798184,0.001059173652853328,0.029059644202736927,0.001154699323043632,0.0004220208062914229,0.00028805160604471034,0.0003525106274445229,0.0001676767378728917,0.0001556062741898107,2.933022980046047e-05,0.0002575666247968625,6.474544827758251e-05,3.357492207496811e-05,0.0001872604973082588,0.00032921873322680977,0.00015987402362226848,0.00013717211929445427,1.1207914194452186e-05,0.00042259366535193666,0.00031331825197482294,0.4770910788335113,0.005577915398745159,0.00023322179891894357,0.00010238516425993855,0.00014551233486448929,9.59626000101098e-05,5.817995599162769e-05,8.353349057882251e-05,0.005408290969814289,0.0029790071072882548,0.0035969999165506262,0.0022861283389858395,0.0011984792412808693,0.0004047419789350264,0.0020414862479620453,0.001891346432630004,0.00020308062220383578,3.596242438781563e-05,3.796310295596164e-05,9.367695832484944e-05,0.00022130127082230902,0.00028223034724454005,3.896412563641054e-06,0.00023038945834158648,7.28215964410975e-07,0.0002300102461501119,0.0002080882473619188,7.99110343165128e-06,0.0001146017975876974,6.126722861062115e-05,7.686428926130443e-05,0.00025822170019788523,0.0006450132503252157,0.0008603069417955955,5.04976902924567e-05,8.363553134699694e-05,0.00017123316620232522,0.0001885201325979036,6.059502436592727e-05,0.00035690015514558063,0.00019060134410749764,0.00018798645391528292,0.00014771135155413142,0.0010279376308324957,0.00012737307252128717,0.010916298611410618,0.0016747062652425183,0.03563855018200076
212,0.0032123100302841384,4.4458607838875004e-05,0.0003544817377048278,0.07012512123073855,0.0010720446708090163,0.009980487655362557,0.008348405842721285,0.0001757827063721207,0.06922252707457648,0.031696346078547565,0.0013023713902429812,0.00028672458419530745,4.260680460041416e-05,0.0006645355333504609,0.00017340931022699147,0.00025942810717726004,0.00026637450170562956,0.0007407967286664111,0.0012322708210317863,0.0013942298440997674,1.2251487381357053e-05,0.006962486817322516,0.00011958842959648471,0.005423412839536991,0.0074861442117115685,0.0012179432575269817,1.0523997905330515e-05,2.95566181979405e-06,1.6422634094913766e-06,7.089256210693256e-07,4.590710745007151e-06,2.0609101479586844e-05,0.0013764644516698393,1.3929674146360389e-05,2.452539860617111e-05,9.78661852516643e-06,9.110961253717439e-07,1.3396882267576859e-05,2.501523191129464e-05,4.4309164753637374e-05,0.00010460325800983812,0.00030912402050951317,0.0013940458150303698,1.0099682129431267e-06,1.4830365325457929e-06,2.8905086435171965e-07,8.731681138567713e-07,2.329201870559787e-06,2.2273057566341263e-05,4.117285821533457e-06,8.143523158512446e-07,2.3928273457245107e-06,0.0006639469638702346,5.7589113023360704e-05,0.0007815679857154433,0.0004146260018193514,0.0012724205845736614,9.82595573492465e-05,7.363984180337618e-05,0.00015445494485364882,0.0005324960937710426,0.0011939080496100212,0.003297797080521587,0.0005211892714595508,0.0006419124123504827,0.0012165227092644966,1.8660064514517915e-05,0.005117291327957778,6.480307163468677e-06,0.0008680437674885458,0.012112657680156735
213,8.239612738131145e-06,1.2570392008766053e-06,0.07153881376261054,0.013203088863540996,0.026012588210903576,4.604522757397363e-06,7.151968393266535e-05,4.0308231538767564e-05,2.2150184436573686e-05,2.820605872106337e-05,0.00015768649313923147,9.718080896719048e-05,3.5002432205117305e-05,0.00011033197163318938,5.842526762003336e-05,5.671673198542749e-05,8.462672092539765e-05,4.48332101079325e-05,2.5115133317911763e-05,1.4894970734304134e-05,3.351271186955145e-06,4.575267599030087e-05,1.3868059908208225e-05,8.167691095615678e-06,1.9941695217281477e-05,4.672496018450812e-05,1.6890891296282123e-06,1.752162512845561e-06,1.2919197140050536e-06,8.894640020323088e-07,2.0529427069094343e-06,1.0800822422503214e-05,1.1797883776711245e-05,5.0545630587998686e-05,1.0060046495691713e-05,6.688270027994886e-06,4.980752175503352e-05,5.3364347222895606e-06,1.137805028616675e-05,2.6801904855283045e-06,4.833260651285985e-07,1.708306083225231e-05,5.911502086206621e-06,9.357645727243576e-07,1.015739032802185e-06,3.176686501227442e-08,5.915730697946632e-07,4.258442121671139e-08,1.5869754873368116e-06,6.059109624351401e-06,7.552811547386025e-08,6.797725191143505e-06,1.90884466155238e-05,6.045143772596927e-06,3.5345759994937837e-06,4.117088993867904e-05,2.481345990608348e-06,5.467346356854484e-07,2.8073872610396423e-06,3.872989724785336e-07,1.2580064430771314e-05,2.2062793821764305e-07,3.889666897668969e-06,8.131211089903279e-06,4.5553031189251894e-06,6.846373249625424e-06,1.6087495459050655e-05,5.092523536573002e-06,5.124377343873281e-06,4.708155540291855e-06,2.5863586187892825e-05
22,0.0185903032079212,0.0006318898088630974,0.018637506887426724,0.037708295304095286,0.004080414375641017,0.046126098513410874,0.0038639349552370087,0.01219574410670613,0.023457603026680894,0.016792931821123094,0.010264739735078566,0.005285924075310312,0.003962684244677773,0.004991480519654436,0.003938833646280466,0.0074480700971867216,0.006645330305002613,0.004952470012084138,0.007349454152980986,0.01460810791646661,0.0011921058013468272,0.023746968840610994,0.01216798798064406,0.009030204448647005,0.015126184459715997,0.015903097693944473,0.005474033970169407,0.01121075954969823,0.030774498576892576,0.026795087618245866,0.012096664482661734,0.004123093021994574,0.0006679299740481768,0.0031455915729092627,0.008866416176407717,0.003330814571911317,0.022305736336786237,0.004439526721056065,0.014443186791294518,0.0016865271960953454,0.002183469352338835,0.005603623022538514,0.007358991240984779,0.0023708571364369126,0.0016963946144207983,0.0004449099591925689,0.009110032776544336,5.781124778635545e-05,0.019871829294943518,0.002538155781941845,0.0014676088432722604,0.0011813457189915385,0.002111530582102547,0.00691005390671343,0.0024628371431239695,0.009408296523933157,0.009967528952035813,0.0029404240095033023,0.007202050014252169,0.011560694369036159,0.0041693202245168485,0.004098720081380972,0.014746745815028422,0.022139708633002405,0.016852792235953203,0.006435255691172792,0.004810081004573891,0.002786228537955254,0.023891469569973525,0.007353719731914023,0.007867857916902754
23,0.003936964005465182,0.00029857900237500876,0.0004987255317992901,0.03979865625401593,0.01857971746561502,0.01133762274276039,0.0001541400570944651,0.0028455658307042953,0.006743723903394438,0.004500837717425537,0.0038057365744343288,0.002459509505628697,0.0017665940368169883,0.0013742118835438416,0.0013163466246301529,0.00141455070566655,0.0018589799707613775,0.0022179369465196203,0.0021061345282282983,0.0023802376867191138,0.0003051292931757532,0.005796248926567539,0.0037635745802245576,0.015688773146801428,0.002930839154793389,0.003342206754779956,0.0017603615420834918,0.004386944667345104,0.004160919422143446,0.008578607860528475,0.0034405579818258952,0.0012072714992932669,0.02930472736523859,0.0007513399978493838,0.0013307710558218208,0.005202504577073414,0.018016882843088104,0.004845124809481075,0.006475447597943081,0.0003645774715622085,0.00044396552584774604,0.0027599910691997556,0.0019677888913363153,0.005420582361213461,0.0029136585491972527,0.0007145848235634407,0.0005427435427521684,0.03191218847659419,0.0301164648058094,0.002180364804174514,0.0005269081084669939,0.00013906152158876215,0.001238818543044749,0.0013921376217251814,0.0008956258866466856,0.001158032967829217,0.0010418598818331022,0.0006568161782313833,0.0013986472837009267,0.0025800774255350946,0.0024384653863479097,0.00086286049877365,0.0032245471709543673,0.020128582185750272,0.002734014263514498,0.004097660578396792,0.01481419568798111,0.0012944574353509165,0.007428992411935146,0.014565928535954143,0.15171583707116454
321,0.0014800775656603556,0.0009798786281807255,2.0792184265038327e-05,0.0018267686179942327,0.00222106247470145,0.00024452342148978114,0.0224138739366695,0.21335054425020028,0.0015025386547745838,0.004686345825596874,0.0006098408127316593,0.0020130438454667287,0.0009533069276865768,0.0052900944355819815,0.004624175060117268,0.0006444753540440827,0.07895593748867935,0.007377213846450088,0.000395862519496736,0.0011025016773737392,2.9139171067230453e-05,0.021079754244840532,3.274030282171797e-05,6.423795317839796e-06,0.00037329260088841867,0.007655222163062967,0.0028679878492979764,0.0004524854419437433,0.0024318036383323663,0.0005516551680669783,0.0008436966404973974,0.0,0.027784359718879548,0.0,0.0004622423388424228,4.111085129491545e-06,0.00028753695336958756,0.0003757334939372874,0.000905397608540077,0.00010640424788420091,0.0004955984127475862,0.0008793942609087421,0.0022273883270950323,0.0002129575780558962,1.0884331450584003e-05,3.9182235544274676e-07,9.621632170255862e-08,1.3833402061295952e-05,0.005219286462038789,0.0010000252771281432,3.471192387065484e-05,6.333059863710109e-05,0.0004341722732120062,1.8474584248372883e-05,0.0009448845494930771,0.0002656146746715886,0.00012826752385550715,0.0003133984454517622,0.0005452764127624045,2.052267198375722e-05,0.002429456209982332,2.520961607914617e-05,0.0008872668535515048,0.0032744376259590128,0.0007689836098535385,0.0011399471144766043,4.0474668722251685e-05,0.00010530882727426395,3.444672948587717e-05,0.0009381520991443614,0.0008623765422805535
327,8.417402061517391e-05,3.5386312587475425e-05,0.003714359368395427,0.005720512583669844,0.0073442904845078824,0.0001808261633777756,0.03892067770902267,0.008304613082767663,0.10725522253097075,0.008530553917779498,0.003836045834408218,0.004225316451016052,0.0009724147165635523,0.014018332591851129,0.010825373792678516,0.000874155360548659,0.004440395124385736,0.004896118453324647,0.0038073522574127794,0.0006869788705324844,0.00012178026861641563,0.002551556745977538,7.544524145847006e-05,0.002802667745687658,0.00207186282091958,0.007428701858716936,3.504255191421283e-05,0.0005919854776050071,0.0001725468493923503,1.5121741788991405e-05,0.0003879313068869261,2.0465929814167147e-05,0.00020784702687754936,1.5955643626608992e-05,0.0002913610208860975,9.523168472947317e-06,8.8932387960594e-06,6.51104137363352e-05,0.0005041657134968308,6.0108742975016025e-06,1.0528629963478025e-05,0.0027249463541468787,0.0014989700125897195,2.4224919818692656e-05,4.2714341379835483e-05,3.492887536717534e-05,8.166556238909478e-07,4.290434897877184e-05,5.3301998181854e-05,0.001498193983380555,5.955014924599629e-07,0.00032568664362633127,0.002411981167417594,6.234975898752983e-05,0.00081938657348434,0.002139327018159869,0.00022615286084602202,0.0018831741386615994,0.0025848484468032435,0.000511788724042032,0.001709336690193232,6.518558472530156e-05,0.0007154457390866016,0.0004093894707592359,0.0020103882687355678,0.001711424628234426,0.00011678819101072985,0.0011120482842504357,9.4063195989839e-06,0.0005154780603215509,0.008428257969074489
331,0.00031740065172812325,0.00012437072414320753,0.015907411474884822,0.00561133588663448,0.004278308260974339,0.000517423070266976,0.0029346235239642365,0.002654417509831672,0.011737410625132193,0.27243432408808665,0.1973545363660402,0.09868400800249875,0.015937363320603287,0.11227616495098007,0.0671106250537145,0.02291584727558046,0.04396608068259844,0.038792483305268584,0.002419926910333584,0.0017913579237267636,1.4740277161334102e-05,0.006015611348659616,0.00021690689222391362,0.00013557162167106998,0.00023001731111433121,0.007035359362301952,0.00024088128667051534,2.3282518262074574e-05,8.813157278039696e-06,1.3496776024914805e-05,3.483117113379111e-05,0.000182942593412019,0.008213511863089938,0.0001435776425588932,0.00015380419462795002,7.032240807687423e-05,0.00032647695833163114,0.0010469236650779397,9.596977672587511e-05,3.942341654835975e-05,8.679938544330804e-05,0.0005680250801687511,0.0011951137214574583,1.1338874248997742e-05,1.3769389555003144e-05,5.813147238223588e-07,1.0474278947760056e-05,5.496330358366494e-07,0.0015814795360683824,0.00023131026316584963,7.798652094375863e-07,3.82306758461854e-05,0.0008325415281293588,9.834700511485666e-05,0.0005547497995897137,0.0024693951265309126,0.0006108760225477134,0.00015752848559650513,4.9256757035297565e-05,7.081008360297034e-05,0.0011496880868777134,7.83456578753627e-05,0.001819049259512744,0.0001607386179057129,0.0001408177004925233,0.0022805019901440877,0.0005929825580223677,0.0012201687940282852,5.09418112720998e-05,0.00010492314135738515,0.0022263455728901284
