bea_code,sector_name,fte_thousands_2021
111CA,Farms,695.0
113FF,"Forestry, fishing, and related activities",507.0
211,Oil and gas extraction,111.0
212,"Mining, except oil and gas",174.0
213,Support activities for mining,220.0
22,Utilities,537.0
23,Construction,7387.0
321,Wood products,400.0
327,Nonmetallic mineral products,395.0
331,Primary metals,342.0
332,Fabricated metal products,1357.0
333,Machinery,1044.0
334,Computer and electronic products,1024.0
335,"Electrical equipment, appliances, and components",385.0
3361MV,"Motor vehicles, bodies and trailers, and parts",948.0
3364OT,Other transportation equipment,672.0
337,Furniture and related products,365.0
339,Miscellaneous manufacturing,588.0
311FT,Food and beverage and tobacco products,1862.0
313TT,Textile mills and textile product mills,194.0
315AL,Apparel and leather and allied products,112.0
322,Paper products,347.0
323,Printing and related support activities,363.0
324,Petroleum and coal products,104.0
325,Chemical products,858.0
326,Plastics and rubber products,709.0
42,Wholesale trade,5501.0
441,Motor vehicle and parts dealers,1722.0
445,Food and beverage stores,2750.0
452,General merchandise stores,2686.0
4A0,Other retail,6408.0
481,Air transportation,439.0
482,Rail transportation,139.0
483,Water transportation,55.0
484,Truck transportation,1440.0
485,Transit and ground passenger transportation,367.0
486,Pipeline transportation,46.0
487OS,Other transportation and support activities,1727.0
493,Warehousing and storage,1589.0
511,"Publishing industries, except internet (includes software)",735.0
512,Motion picture and sound recording industries,324.0
513,Broadcasting and telecommunications,888.0
514,"Data processing, internet publishing, and other information services",701.0
521CI,"Federal Reserve banks, credit intermediation, and related activities",2671.0
523,"Securities, commodity contracts, and investments",950.0
524,Insurance carriers and related activities,2771.0
525,"Funds, trusts, and other financial vehicles",21.0
HS,Housing,0.0
ORE,Other real estate,1665.0
532RL,Rental and leasing services and lessors of intangible assets,480.0
5411,Legal services,1122.0
5415,Computer systems design and related services,2217.0
5412OP,"Miscellaneous professional, scientific, and technical services",6237.0
55,Management of companies and enterprises,2293.0
561,Administrative and support services,7997.0
562,Waste management and remediation services,441.0
61,Educational services,3281.0
621,Ambulatory health care services,7203.0
622,Hospitals,4864.0
623,Nursing and residential care facilities,2814.0
624,Social assistance,3644.0
711AS,"Performing arts, spectator sports, museums, and related activities",445.0
713,"Amusements, gambling, and recreation industries",1225.0
721,Accommodation,1372.0
722,Food services and drinking places,8525.0
81,"Other services, except government",5816.0
GFGD,Federal general government (defense),2146.3211686541604
GFGN,Federal general government (nondefense),1601.6788313458399
GFE,Federal government enterprises,574.0
GSLG,State and local general government,14904.0
GSLE,State and local government enterprises,1064.0
