bea_code,sector_name,gross_output_price_relative_to_2019_2019
111CA,Farms,1.0
113FF,"Forestry, fishing, and related activities",1.0
211,Oil and gas extraction,1.0
212,"Mining, except oil and gas",1.0
213,Support activities for mining,1.0
22,Utilities,1.0
23,Construction,1.0
321,Wood products,1.0
327,Nonmetallic mineral products,1.0
331,Primary metals,1.0
332,Fabricated metal products,1.0
333,Machinery,1.0
334,Computer and electronic products,1.0
335,"Electrical equipment, appliances, and components",1.0
3361MV,"Motor vehicles, bodies and trailers, and parts",1.0
3364OT,Other transportation equipment,1.0
337,Furniture and related products,1.0
339,Miscellaneous manufacturing,1.0
311FT,Food and beverage and tobacco products,1.0
313TT,Textile mills and textile product mills,1.0
315AL,Apparel and leather and allied products,1.0
322,Paper products,1.0
323,Printing and related support activities,1.0
324,Petroleum and coal products,1.0
325,Chemical products,1.0
326,Plastics and rubber products,1.0
42,Wholesale trade,1.0
441,Motor vehicle and parts dealers,1.0
445,Food and beverage stores,1.0
452,General merchandise stores,1.0
4A0,Other retail,1.0
481,Air transportation,1.0
482,Rail transportation,1.0
483,Water transportation,1.0
484,Truck transportation,1.0
485,Transit and ground passenger transportation,1.0
486,Pipeline transportation,1.0
487OS,Other transportation and support activities,1.0
493,Warehousing and storage,1.0
511,"Publishing industries, except internet (includes software)",1.0
512,Motion picture and sound recording industries,1.0
513,Broadcasting and telecommunications,1.0
514,"Data processing, internet publishing, and other information services",1.0
521CI,"Federal Reserve banks, credit intermediation, and related activities",1.0
523,"Securities, commodity contracts, and investments",1.0
524,Insurance carriers and related activities,1.0
525,"Funds, trusts, and other financial vehicles",1.0
HS,Housing,1.0
ORE,Other real estate,1.0
532RL,Rental and leasing services and lessors of intangible assets,1.0
5411,Legal services,1.0
5415,Computer systems design and related services,1.0
5412OP,"Miscellaneous professional, scientific, and technical services",1.0
55,Management of companies and enterprises,1.0
561,Administrative and support services,1.0
562,Waste management and remediation services,1.0
61,Educational services,1.0
621,Ambulatory health care services,1.0
622,Hospitals,1.0
623,Nursing and residential care facilities,1.0
624,Social assistance,1.0
711AS,"Performing arts, spectator sports, museums, and related activities",1.0
713,"Amusements, gambling, and recreation industries",1.0
721,Accommodation,1.0
722,Food services and drinking places,1.0
81,"Other services, except government",1.0
GFGD,Federal general government (defense),1.0
GFGN,Federal general government (nondefense),1.0
GFE,Federal government enterprises,1.0
GSLG,State and local general government,1.0
GSLE,State and local government enterprises,1.0
