bea_code,sector_name,capital_stock_real_2019_price_musd_2022
111CA,Farms,639949.4952058258
113FF,"Forestry, fishing, and related activities",72998.43004970414
211,Oil and gas extraction,1575417.0442734738
212,"Mining, except oil and gas",232046.7891123631
213,Support activities for mining,153871.00354510496
22,Utilities,3006270.3952346784
23,Construction,369803.1648671727
321,Wood products,52531.33872922017
327,Nonmetallic mineral products,112907.1776980568
331,Primary metals,201085.3933015824
332,Fabricated metal products,227085.6189685315
333,Machinery,269335.8211100537
334,Computer and electronic products,582853.1849239586
335,"Electrical equipment, appliances, and components",86712.10060902045
3361MV,"Motor vehicles, bodies and trailers, and parts",297371.0616678546
3364OT,Other transportation equipment,187912.0566062228
337,Furniture and related products,28401.801046430654
339,Miscellaneous manufacturing,132890.21171628326
311FT,Food and beverage and tobacco products,420301.3580654285
313TT,Textile mills and textile product mills,41243.02220489246
315AL,Apparel and leather and allied products,17692.355132746074
322,Paper products,132172.1830673227
323,Printing and related support activities,45716.80348859932
324,Petroleum and coal products,277948.1707462
325,Chemical products,1271605.1879814672
326,Plastics and rubber products,130899.3884927746
42,Wholesale trade,748283.4221013804
441,Motor vehicle and parts dealers,222499.8128860023
445,Food and beverage stores,265812.58292452275
452,General merchandise stores,298050.9545380541
4A0,Other retail,858303.2829027466
481,Air transportation,289175.47050805576
482,Rail transportation,451563.93613910134
483,Water transportation,65746.18746541777
484,Truck transportation,173577.77500321437
485,Transit and ground passenger transportation,56856.92504717024
486,Pipeline transportation,313938.41931881633
487OS,Other transportation and support activities,188777.47011998462
493,Warehousing and storage,76202.64826513926
511,"Publishing industries, except internet (includes software)",388149.4709984992
512,Motion picture and sound recording industries,328134.4034252539
513,Broadcasting and telecommunications,1633040.6618104973
514,"Data processing, internet publishing, and other information services",657654.0378219385
521CI,"Federal Reserve banks, credit intermediation, and related activities",1033076.7242245275
523,"Securities, commodity contracts, and investments",247955.60240523453
524,Insurance carriers and related activities,354642.45928845555
525,"Funds, trusts, and other financial vehicles",47962.80438498385
HS,Housing,24227342.657612942
ORE,Other real estate,1580418.1698472723
532RL,Rental and leasing services and lessors of intangible assets,511391.726574157
5411,Legal services,47994.64634038149
5415,Computer systems design and related services,154599.8829010004
5412OP,"Miscellaneous professional, scientific, and technical services",770667.7971233914
55,Management of companies and enterprises,410568.192404658
561,Administrative and support services,254234.6236950783
562,Waste management and remediation services,120103.45960644424
61,Educational services,711107.2024205603
621,Ambulatory health care services,476199.3373725935
622,Hospitals,1182804.2402521796
623,Nursing and residential care facilities,130521.23838703864
624,Social assistance,86215.61465536983
711AS,"Performing arts, spectator sports, museums, and related activities",223203.42733986606
713,"Amusements, gambling, and recreation industries",275407.78394415043
721,Accommodation,463420.5540385801
722,Food services and drinking places,308280.00822616153
81,"Other services, except government",754423.5127274883
GFGD,Federal general government (defense),1880356.5728254349
GFGN,Federal general government (nondefense),1127704.2166228918
GFE,Federal government enterprises,769768.3504968509
GSLG,State and local general government,9434258.41127546
GSLE,State and local government enterprises,2976341.627890256
