bea_code,sector_name,fte_thousands_2020
111CA,Farms,694.0
113FF,"Forestry, fishing, and related activities",502.0
211,Oil and gas extraction,124.0
212,"Mining, except oil and gas",173.0
213,Support activities for mining,232.0
22,Utilities,541.0
23,Construction,7133.0
321,Wood products,389.0
327,Nonmetallic mineral products,388.0
331,Primary metals,345.0
332,Fabricated metal products,1348.0
333,Machinery,1030.0
334,Computer and electronic products,1040.0
335,"Electrical equipment, appliances, and components",375.0
3361MV,"Motor vehicles, bodies and trailers, and parts",881.0
3364OT,Other transportation equipment,689.0
337,Furniture and related products,351.0
339,Miscellaneous manufacturing,570.0
311FT,Food and beverage and tobacco products,1794.0
313TT,Textile mills and textile product mills,191.0
315AL,Apparel and leather and allied products,110.0
322,Paper products,347.0
323,Printing and related support activities,367.0
324,Petroleum and coal products,109.0
325,Chemical products,832.0
326,Plastics and rubber products,682.0
42,Wholesale trade,5476.0
441,Motor vehicle and parts dealers,1671.0
445,Food and beverage stores,2732.0
452,General merchandise stores,2577.0
4A0,Other retail,6064.0
481,Air transportation,443.0
482,Rail transportation,147.0
483,Water transportation,56.0
484,Truck transportation,1410.0
485,Transit and ground passenger transportation,350.0
486,Pipeline transportation,48.0
487OS,Other transportation and support activities,1594.0
493,Warehousing and storage,1386.0
511,"Publishing industries, except internet (includes software)",712.0
512,Motion picture and sound recording industries,270.0
513,Broadcasting and telecommunications,914.0
514,"Data processing, internet publishing, and other information services",640.0
521CI,"Federal Reserve banks, credit intermediation, and related activities",2625.0
523,"Securities, commodity contracts, and investments",928.0
524,Insurance carriers and related activities,2776.0
525,"Funds, trusts, and other financial vehicles",18.0
HS,Housing,0.0
ORE,Other real estate,1586.0
532RL,Rental and leasing services and lessors of intangible assets,476.0
5411,Legal services,1094.0
5415,Computer systems design and related services,2112.0
5412OP,"Miscellaneous professional, scientific, and technical services",5905.0
55,Management of companies and enterprises,2262.0
561,Administrative and support services,7567.0
562,Waste management and remediation services,433.0
61,Educational services,3269.0
621,Ambulatory health care services,6839.0
622,Hospitals,4871.0
623,Nursing and residential care facilities,2932.0
624,Social assistance,3539.0
711AS,"Performing arts, spectator sports, museums, and related activities",393.0
713,"Amusements, gambling, and recreation industries",1053.0
721,Accommodation,1265.0
722,Food services and drinking places,7722.0
81,"Other services, except government",5696.0
GFGD,Federal general government (defense),2219.779043970296
GFGN,Federal general government (nondefense),1525.2209560297042
GFE,Federal government enterprises,545.0
GSLG,State and local general government,14929.0
GSLE,State and local government enterprises,1067.0
