year,flow_balance_error,stock_recurrence_error,max_capital_excess,labour_excess,max_import_excess,min_net_output,min_investment,flow_balance_ok,stock_recurrence_ok,capital_ok,labour_ok,imports_ok,net_output_ok,investment_ok,compliant
2019,3.4924596548080444e-10,0.0,1.8189894035458565e-12,-35108.97589984983,0.0,-8.36735125631094e-11,0.0,True,True,True,True,True,True,True,True
2020,4.656612873077393e-10,0.0,5.820766091346741e-11,-31069.04151891744,1.4551915228366852e-11,-1.2676082405960187e-10,-4.3655745685100555e-11,True,True,True,True,True,True,True,True
2021,6.984919309616089e-10,0.0,0.0005427252162917284,-34988.65443403507,0.0,-1.0186340659856796e-10,-1.3642420526593924e-12,True,True,True,True,True,True,True,True
2022,9.313225746154785e-10,0.0,0.0007589692809801818,-35308.03753024609,0.0,-5.093170329928398e-11,-7.048583938740194e-12,True,True,True,True,True,True,True,True
2023,3.4924596548080444e-10,0.0,5.820766091346741e-11,-45219.79816385126,0.0,-1.709850039333105e-10,0.0,True,True,True,True,True,True,True,True
