commodity_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.015743129058080584,0.24096385542168675,0,0,0,0,0.022222222222222223,0,0,0,0,0,0,0,0,0,0,0.069306930693069313,0.047484197549434774,0.0047688921496698462,0,0,0,0,0.028117492902380432,0,0.021459227467811159,0.092691622103386814,0.02503793626707132,0.016393442622950821,0.097387173396674589,0,0,0,0,0,0,0.24242424242424243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07407407407407407,0.024390243902439025,0.069737408523461039,0,0.32876712328767121,0,0,0,0,0,0.3253012048192771,0.17647058823529413,0.90493227702530032,0.20000000000000001,0.42857142857142855,0,0,0.12996820349761526,0
113FF,0.0088833476194186863,0.001825694244258672,0,0.0080645161290322578,0,0,0,0.0099049725979184471,0,0,0,0,0,0,0,0,1.2096774193548387,1.22,2.2657657657657659,0,0.17117117117117117,0.0083315975838367008,1.2222222222222223,0,1.2311320754716981,1.2226999140154773,0,0,2.4857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083769633507853408,0.041666666666666664,1.5,0,1.7777777777777777,0,0,0,0,0,2.4921875,2.5047619047619047,2.4840182648401825,2.7407407407407409,0,0,2.7999999999999998,0.20400992145514676,0
211,0,0,0.14979701993513711,0,0.029411764705882353,0.095277382645803696,0,0.043478260869565216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5532029528953234,0.040000000000000001,0,0.026315789473684209,0.032258064516129031,0,0,0.035087719298245612,0,0,0,0,0,0,0,0.025862068965517241,0.025723472668810289,0,0.040000000000000001,0.028571428571428571,0,0,0,0,0,0.024242424242424242,0,0,0,0.021739130434782608,0.043478260869565216,0,0.027777777777777776,0.026755852842809364,0,0,0,0,0,0.028409090909090908,0,0,0.033333333333333333,0,0,0.09529343404997094,0,0.095283522857360914
212,0.046483180428134555,0,0.020618556701030927,0.012063492063492064,0.02,0.015111388066677053,0.022560952489288286,0,0.063967004124484445,0.10241435795171284,0.033379694019471488,0.13286713286713286,0.33333333333333331,0.47222222222222221,0.53030303030303028,0.089285714285714288,0,0.33684210526315789,0.17656373713380838,0.025000000000000001,0,0.017543859649122806,0,0.037329700272479567,0.21547502448579825,0.014084507042253521,0.5,0,0,0,0.75,0,0.0076335877862595417,0,0,0,0,0,0,0,0,0.008130081300813009,0.0074191838897721251,0,0,0,0,0,0,0,0,0,0.10495283018867925,0.025000000000000001,0.0070694087403598968,0.012658227848101266,0.0070921985815602835,0,0,0,0.034364261168384883,0.0078431372549019607,0.0076988879384088963,0.0075187969924812026,0.014084507042253521,0.0073740270380991393,0,0.021634615384615384,0,0.50232078390923152,0.013713539399216369
213,0,0,0.012042300874136561,0.020122973728339856,0.014527845036319613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0020319303338171262,0,0.0032644178454842221,0.004459308807134894,0.0047961630695443642,0.0028237192416296895,0.0059705839522353286,0.0041114664230242123,0.0033975084937712344,0.0039113428943937422,0.0037950664136622392,0.004107542942494399,0.0041841004184100415,0.0033149171270718232,0.0035481963335304554,0.0039806653397782199,0.0030441400304414001,0.0051229508196721308,0.0033685786469542433,0.0054054054054054057,0,0.0034326728038695585,0.0041288191577208916,0.0030793948319721514,0.0031953320366768546,0.0040041782729805016,0.005242576597481844,0.005269420363759986,0.0054449061470124658,0.0054742887911693443,0.0053325384207737149,0.00073855243722304289,0,0.012195121951219513,0.0036155468514612837,0.0024509803921568627,0.0030845157310302285,0.00771513353115727,0.0054190751445086704,0.0065502183406113534,0.0052539404553415062,0.0052867486495805083,0.0043907793633369925,0.0050851767098906691,0.004626569729015202,0.0040941658137154556,0,0.0048780487804878049,0.0043843123822572359,0.0072595281306715061,0.0044052863436123352,0.0049586776859504135,0.0044546436285097194,0.0053505281931677867,0.005793450881612091,0.0047413793103448275,0.0014650481372959396,0.0048889794255449178,0.0039347297766462218,0.004464285714285714,0.0046320123520329388,0.0045351473922902496,0.0049440541243819932,0.004712301587301587,0.0049661009629917516,0.0045964724746125063,0.0018480018480018479,0.0011055831951354339,0.011147540983606558,0.00099400672416313394,0.0023696682464454978
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0.012121212121212121,0,0,0.005084745762711864,0.055384615384615386,0,0.16995814222736785,0.22278439244369896,0.01968503937007874,0.0016778523489932886,0.22480620155038761,0.24022346368715083,0.0041841004184100415,0,0.17336929867582149,0.22784810126582278,0.29625277451364407,0.27958236658932717,0.083950617283950618,0.57446808510638303,0,0.20434404865334491,1,0,0.096219931271477668,0.14538152610441768,0.026938478340007281,0.036199095022624438,0.022335025380710659,0.038461538461538464,0.038589804668889949,0,0.078310940499040305,0,0.0063291139240506328,0,0.40000000000000002,0.030303030303030304,0.18620689655172415,0.065573770491803282,0.13600000000000001,0.096666666666666665,0.11856710393541876,0.29166666666666669,0.29999999999999999,0,0,0.13541666666666666,0.064964104978227605,0.16785350966429299,0.3125,0.2857142857142857,0.08975521305530372,0,0.091954022988505746,0.21212121212121213,0.23255813953488372,0.2276536312849162,0.15579227696404793,0.2857142857142857,0.13739130434782609,0.21428571428571427,0.24324324324324326,0.27293064876957496,0.20385674931129477,0.20770877944325483,0.30434782608695654,0.046153846153846156,1,0.31363244176013805,0.0990990990990991
327,0,0,0.14038342609771182,0.015706806282722512,0.074999999999999997,0,0.062279642791471128,0.1776765375854214,0.1650263715948018,0.21643192488262911,0.44929925803792253,0.39740655987795576,0.27985074626865669,0.17108977978543197,0.14646280791166122,0.47540983606557374,0.38095238095238093,0.27500000000000002,0.28652434956637757,0.39130434782608697,0,0.025362318840579712,0,0.24232456140350878,0.17211328976034859,0.25260416666666669,0.19354838709677419,0.5625,0.94444444444444442,0.014084507042253521,0.28557409224730129,0,0.125,0,0.29629629629629628,0,0,0.29999999999999999,0.71698113207547165,0,0,0.4474317817014446,0.19197396963123645,0.88235294117647056,0.88888888888888884,0.28888888888888886,0,0.0089285714285714281,0,0.17597765363128492,0,0.023166023166023165,0.15951265229615746,0.66666666666666663,0.23775388291517324,0.53386454183266929,0.59677419354838712,0.13923132704858593,0.67437641723356012,0.3125,0.16120906801007556,0.11764705882352941,0.23837209302325582,0.10869565217391304,0.3522012578616352,0.056800416883793642,0.35999999999999999,0.73734610123119015,0,0.47076372315035797,0.053789146545541476
331,1.2238805970149254,0,0.19097763910556423,0.21688741721854304,0.63983050847457623,0,0.34455219623502564,0.31046931407942241,0.28239395700174319,0.7400194569735562,0.22184550004063955,0.2170205690941048,0.69772023641992686,0.40243438569798401,0.26391466623156778,0.29591836734693877,0.2819620253164557,0.46863189720332576,0.23859465128474042,0.1111111111111111,0,0.23843700159489634,0.36363636363636365,1,0.66666666666666663,0.2145435791645178,0.30515916575192098,0.2857142857142857,0,0,2.0625,0,0.055885850178359099,0,0,0,0,0.072368421052631582,0,0.75,0.59999999999999998,0.16780045351473924,0.5662650602409639,0,0,0,0,0.33333333333333331,0.40774786605384111,0.39090909090909093,0,0,0.65929878048780488,0.66666666666666663,0.36762225969645868,0.30522088353413657,0.41666666666666669,0.43448275862068964,0.31428571428571428,0.38461538461538464,0.33701657458563539,0.43478260869565216,0.25806451612903225,0.47058823529411764,0.18877551020408162,0.64529914529914534,0.879746835443038,0.47368421052631576,0,0.23404255319148937,0.40117994100294985
