year,commodity_code,industry_code,total_use_musd,import_matrix_musd,derived_domestic_musd
2019,334,322,834.0,-242.0,1076.0
2019,315AL,324,1.0,-10.0,11.0
2020,334,315AL,54.0,-1.0,55.0
2021,334,315AL,46.0,-3.0,49.0
2021,315AL,324,0.0,-1.0,1.0
2022,111CA,313TT,978.0,-9.0,987.0
2023,111CA,313TT,2226.0,-6.0,2232.0
2023,3364OT,5412OP,1275.0,-2.0,1277.0
