Year,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Labour_FTE_thousands
2019,59659.93787537644,0.0,0.0,26144.307073948687,2892.384159373601,221474.65848516152,133.32875279633208,0.0,129.08987908419076,0.0,0.0,72826.92521220235,67353.97170625784,10211.012787932745,198578.65715472543,124651.9989770457,32854.878425915216,67921.45770115257,586111.5910059058,0.0,2713.633181762158,16574.33092866834,3667.6778587673193,220374.78970750823,219751.67058248224,8066.235781853776,1212379.9337725723,63276.728451489835,21156.19667411672,13803.684999966441,975619.7238559258,157275.92789312484,26954.77014521857,48729.489613796104,172890.45856970616,50796.99378636676,10983.927041542354,28438.406744309643,0.0,154437.0811013282,39807.119273153716,385907.70993491774,74358.60164142092,403037.114939444,326816.7052623266,394441.23806307797,134731.83318614846,2199806.359575717,10772.21243398493,138253.27941258386,124875.16510623103,46708.8690221974,115502.8651577401,27781.0289774688,101330.02674099909,21139.85538829263,337053.7378130007,1121440.366136756,920620.0536547006,257691.4634170169,247542.05171910228,104890.10618579887,165796.16547913678,224047.39944156416,674914.0333566683,505649.39840806864,683287.06145104,285235.27863766544,19984.78211086668,2380086.9810934695,191593.53637664762,141249.0
2020,81453.03993877814,0.0,0.0,24242.855248221444,2070.572005914649,225569.38548281262,136.50658898399502,0.0,1699.6224799143226,0.0,0.0,64793.70938885788,59271.38999809556,7042.790472971638,188775.71177524456,89468.61985695972,31590.98716825894,66989.90065994207,620218.3328306206,0.0,8135.474537236426,17946.2687227912,2789.2026800971994,177062.09927972162,221833.01647776595,5433.178582163566,1164561.192133439,55246.16334324161,22533.60140168488,14479.91030863095,980128.578293129,80810.01290893667,23321.183315019716,31093.27364583101,179461.9581709444,30724.104312171763,11031.943995044989,30843.164335509606,0.0,170330.32262391082,24071.369958216535,385759.0873286867,97606.43675197252,398361.29293360474,345495.0509895259,383759.65188175323,137222.00549710525,2258848.2910708096,9782.550784964456,136332.1871630381,118738.02503878478,54367.27555289984,114429.58902507699,26839.993559273826,86247.14087392701,19221.729519573422,300763.86014854244,1049513.51653244,892542.8677766563,244851.63653591883,244626.0102665775,63265.18317917497,113965.30705439002,140520.16535189707,586124.9982212425,460243.5542819984,696859.6273376826,352860.79955065646,19230.653759121276,2388925.492948222,177321.29219663446,133374.0
2021,85598.43300847213,0.0,0.0,23002.598751832807,1741.1936186322393,208599.91659963844,127.4487261981493,0.0,0.0,0.0,0.0,67924.9122030807,51841.24887940555,1549.1922668560912,214258.33908654714,88548.49849262308,31181.066131739208,65747.01526355105,592644.7307775865,0.0,11437.845970579376,13954.659617460517,3468.4292180819702,189582.24114366743,177699.7853595609,1658.3929191157265,1275912.2625755926,50789.020495029035,23504.66487839251,15471.655874769132,1137530.9518761416,142026.45821774765,25691.010654749978,28724.38382644451,187696.8406692418,35899.89599197324,10192.886152271927,34847.51116029255,0.0,190564.95274774398,29491.02073658915,403763.08715478744,120315.97756466099,406460.8255571743,358220.42410571076,414048.6068774939,144162.63326656702,2325865.8458396452,10094.357463013308,153239.75749494584,125131.27421064823,61816.592425075774,130612.2402007595,29710.62514536279,92906.71283347778,19668.434056494632,308505.52183477615,1145994.8408538904,946312.6297910231,243248.24388463717,257092.8336606908,78521.2453202653,147306.164701083,177303.25023518124,704349.9283944297,484099.75050448417,693482.3267776003,375255.92658540845,19038.127688305456,2412603.783882735,181242.6074774015,137561.0
2022,70473.0129604552,0.0,0.0,24895.015946306125,1828.7029206899283,216127.9019502098,116.57518830998187,0.0,0.0,0.0,0.0,68080.59836339988,43393.0928064739,4201.242041402453,210444.94449214687,102175.0808718985,29595.120614176005,65013.79539585605,560740.1675525982,0.0,3468.396913066344,9051.690484653396,2770.0344761536794,210058.8618385482,165230.95898258407,1119.4581854506416,1290249.1280766625,50543.183582811806,22810.888372963986,13982.099446886592,1162988.2970704713,180287.24709790136,27813.65739548019,42694.5531017023,183864.70264838432,50552.101682671884,13369.191066642454,33813.1290558483,0.0,203127.3873403605,35964.86886535803,409146.48648755054,134273.19656712117,393613.19514937996,360433.74898830435,423245.53614402347,138810.62412212105,2389778.790243137,11515.679590297743,151167.03671949505,127115.01631872822,69115.11217001802,134261.30994352893,33044.78071179692,108150.28631705894,20636.81395579484,329232.3404474253,1215741.4869496394,971200.9942462352,252589.56176450255,265159.6346998983,104501.864248859,167978.3803210247,211533.02390130018,741545.6673196037,526318.3724587685,664613.1316656489,360638.2279623856,15381.248196490134,2450126.1686692457,181829.72208691956,143395.0
2023,82182.7637518051,0.0,0.0,26103.95955418598,2314.043442391398,227869.64187018224,124.72179723017355,0.0,1233.2103906274642,0.0,0.0,62657.37240095843,46576.654559283495,11891.132143965313,228043.32956049487,118117.65185171783,30079.129197027996,69087.11190962205,563584.8311421389,4706.661793930405,12977.174426384057,9643.660691838233,2927.120125541828,227101.09878586087,201993.34406458476,9566.077188494766,1252960.1440855293,62326.328426497144,21358.821749555613,13428.416664975879,1188589.0572800767,200919.12539119122,25391.582057258605,45004.462309330964,175890.94174058063,60927.35867957082,14831.714935389098,32835.23766779084,0.0,214080.5442703335,40404.10819997316,410900.36134401814,149825.7512189032,405683.9975340523,373915.4887717206,414703.58747825853,161366.9358718618,2441901.0484068776,11704.00823682107,151471.4451148258,125396.99883005854,76378.61148557917,143770.07608705363,33936.56919572577,117295.6076376904,19223.774974715237,344154.7813545052,1307864.9792842742,995775.0683189826,265072.7678852167,277868.10149636795,118198.73593226224,174168.25686201188,229770.94930865316,764224.6232467468,532072.4930335897,685118.6514896333,356287.5344019529,17046.366642674275,2519493.346139178,186692.3831885563,146061.0
